one two three
6.155 6.482 6.804
5.298 5.629 5.960
4.386 4.707 5.033
3.940 3.971 4.536
6.124 6.466 6.788
1.446 1.683 1.932
5.264 5.297 5.889
3.810 4.133 4.450
1.226 1.461 1.698
2.698 2.977 3.262
5.174 5.207 5.798
2.023 2.049 2.523
7.114 7.145 7.696
4.445 4.782 5.109
3.819 4.142 4.459
1.118 1.345 1.576
3.501 3.531 4.077
0.677 0.848 1.040
2.834 3.129 3.418
1.250 1.476 1.714
4.739 5.326 5.657
1.757 1.878 2.341
0.785 1.064 1.265
2.937 3.281 3.590
1.159 1.222 1.659
1.494 1.811 2.066
2.901 2.955 3.397
5.602 6.007 6.269
4.999 5.411 5.762
3.702 4.097 4.388
6.841 7.326 7.628
7.385 7.434 7.954
5.342 5.758 6.018
7.119 7.480 7.772
7.197 7.519 7.815
2.288 2.344 2.838
7.155 7.394 7.727
3.667 3.960 4.270
1.337 1.427 1.855
2.451 2.723 2.973
7.215 7.466 7.811
7.384 7.399 7.929
6.134 6.461 6.761
5.714 6.068 6.659
4.896 4.929 5.518
4.378 4.410 4.989
5.363 5.693 6.024
5.642 5.973 6.302
6.470 6.792 7.108
3.060 3.361 3.657
3.678 3.998 4.312
6.324 6.356 6.940
6.056 6.089 6.680
7.168 7.475 7.772
5.961 6.290 6.615
7.218 7.249 7.794
4.526 4.850 5.177
7.105 7.136 7.687
6.013 6.356 6.680
4.738 4.770 5.364
3.653 3.958 4.271
6.016 6.359 6.683
4.301 4.332 4.917
4.583 4.907 5.235
6.845 7.160 7.467
6.021 6.349 6.674
5.055 5.399 5.730
3.757 4.079 4.395
4.954 4.987 5.576
6.130 6.457 6.779
6.017 6.050 6.634
4.485 4.518 5.099
5.468 5.500 6.100
3.042 3.329 3.625
2.946 3.243 3.536
4.099 4.131 4.702
6.080 6.407 6.731
7.134 7.475 7.605
3.771 4.272 4.448
7.003 7.533 7.764
5.459 5.492 5.793
8.784 8.810 9.014
6.788 6.820 7.073
5.394 6.074 6.402
7.710 7.905 8.285
4.707 5.381 5.711
7.371 7.401 7.641
6.191 6.384 6.924
7.342 7.693 8.110
7.402 7.610 8.100
6.889 7.074 7.555
8.052 8.080 8.577
5.857 6.202 6.528
6.149 6.491 6.813
5.851 5.884 6.479
5.873 5.906 6.501
2.923 3.207 3.500
4.769 5.111 5.440
3.657 3.977 4.290
3.210 3.238 3.776
6.680 6.998 7.309
3.359 3.656 3.961
5.215 5.545 5.876
4.021 4.052 4.620
5.029 5.373 5.703
2.916 2.944 3.466
2.052 2.314 2.583
1.057 1.278 1.506
4.666 4.991 5.320
6.999 7.310 7.612
6.239 6.271 6.858
7.292 7.608 7.902
6.316 6.655 6.974
8.353 8.380 8.860
4.401 4.722 5.048
5.395 5.725 6.056
1.932 2.202 2.468
4.269 4.589 4.913
7.262 7.566 7.860
6.653 6.972 7.284
7.958 8.253 8.525
5.734 6.079 6.407
8.200 8.487 8.751
8.915 8.941 9.389
7.760 8.049 8.328
8.372 8.640 8.900
6.161 6.488 6.810
5.765 6.095 6.423
5.040 5.384 5.715
3.352 3.649 3.954
5.997 6.029 6.622
3.604 3.921 4.233
4.832 4.864 5.460
5.497 5.828 6.158
5.405 5.735 6.066
6.745 7.062 7.371
5.752 6.083 6.410
6.969 7.281 7.584
6.438 6.775 7.091
6.367 6.706 7.023
7.210 7.240 7.786
2.242 2.510 2.784
6.039 6.072 6.663
1.957 1.982 2.453
6.948 7.274 7.577
5.036 5.380 5.711
6.040 6.383 6.707
9.067 9.324 9.564
8.214 8.242 8.730
5.467 5.813 6.142
4.711 5.037 5.366
6.670 6.988 7.299
6.729 7.047 7.356
6.993 7.024 7.580
7.881 8.165 8.441
6.549 6.870 7.184
6.803 7.119 7.427
7.374 7.675 7.966
6.548 6.883 7.196
7.418 7.448 7.976
6.963 7.274 7.578
7.502 7.798 8.086
7.205 7.236 7.782
1.772 1.797 2.263
3.741 4.049 4.364
1.957 2.216 2.483
1.174 1.394 1.629
1.908 2.178 2.443
2.317 2.343 2.837
0.040 0.060 0.091
0.121 0.204 0.273
0.172 0.186 0.341
0.021 0.031 0.042
0.008 0.009 0.010
0.284 0.447 0.614
0.216 0.349 0.463
1.290 1.621 1.946
2.426 2.992 3.278
4.782 4.814 5.183
3.619 4.240 4.559
8.054 8.482 8.747
10.23 10.25 10.64
10.95 10.97 11.34
10.20 10.43 10.64
9.088 9.113 9.553
7.763 8.051 8.331
9.852 10.09 10.31
11.11 11.13 11.50
10.37 10.59 10.80
11.10 11.12 11.49
10.27 10.50 10.71
9.833 9.856 10.27
6.238 6.564 6.885
7.264 7.567 7.862
7.460 7.771 8.059
7.028 7.060 7.607
4.031 4.346 4.666
4.950 4.982 5.572
3.276 3.584 3.887
1.129 1.356 1.588
0.809 1.005 1.212
0.212 0.219 0.394
0.153 0.220 0.309
1.688 1.712 2.167
0.041 0.060 0.092
1.955 2.214 2.480
0.360 0.584 0.743
0.472 0.490 0.765
2.060 2.471 2.758
1.328 1.609 1.852
2.127 2.416 2.660
0.612 0.895 1.091
0.759 0.784 1.121
0.973 1.312 1.530
1.639 1.673 2.114
5.524 5.982 6.311
6.513 6.877 7.209
7.774 8.050 8.341
6.051 6.560 6.868
7.701 8.139 8.415
3.882 4.173 4.513
5.169 5.616 5.994
7.417 7.857 8.131
7.828 8.119 8.362
8.690 8.693 9.177
7.882 8.314 8.584
7.792 7.817 8.294
6.064 6.392 6.716
8.998 9.311 9.550
8.706 9.066 9.313
9.300 9.551 9.784
8.730 8.998 9.246
11.45 11.47 11.84
11.66 11.72 12.02
11.94 11.96 12.33
10.51 10.69 10.94
11.23 11.25 11.62
12.32 12.34 12.70
11.55 11.61 11.97
11.36 11.56 11.76
11.34 11.57 11.81
11.71 11.92 12.12
12.37 12.39 12.75
11.16 11.38 11.58
12.08 12.10 12.46
10.93 10.95 11.33
11.24 11.26 11.63
5.934 6.278 6.603
8.798 9.053 9.300
9.929 9.951 10.36
10.25 10.27 10.67
8.240 8.525 8.788
7.787 7.816 8.329
5.858 6.188 6.515
2.817 2.845 3.355
4.220 4.252 4.827
0.515 0.664 0.834
0.729 0.916 1.114
0.389 0.401 0.648
1.120 1.140 1.546
2.677 2.955 3.240
3.964 4.277 4.596
3.570 3.873 4.184
2.572 2.848 3.130
2.388 2.671 2.948
2.896 3.192 3.484
3.395 3.706 4.013
0.074 0.077 0.160
2.245 2.513 2.787
3.952 3.983 4.556
2.748 2.776 3.283
2.643 2.671 3.172
1.143 1.361 1.594
2.608 2.636 3.136
4.024 4.056 4.624
6.067 6.395 6.718
3.611 3.641 4.192
0.690 0.706 1.038
0.611 0.625 0.958
2.223 2.503 2.776
0.525 0.683 0.856
0.007 0.007 0.009
1.617 1.862 2.119
0.017 0.020 0.026
0.019 0.030 0.041
0.120 0.125 0.242
0.015 0.015 0.020
0.230 0.326 0.441
0.009 0.009 0.011
0.007 0.008 0.009
0.007 0.008 0.009
0.010 0.011 0.012
0.012 0.012 0.015
0.023 0.029 0.041
0.069 0.108 0.160
0.042 0.044 0.093
0.630 0.795 0.981
0.126 0.132 0.253
0.006 0.006 0.007
0.005 0.006 0.006
0.016 0.019 0.023
0.007 0.007 0.008
0.023 0.030 0.043
0.070 0.108 0.161
1.675 1.935 2.193
0.005 0.006 0.007
0.429 0.441 0.702
0.236 0.245 0.432
0.023 0.024 0.041
0.289 0.396 0.525
0.453 0.599 0.760
0.005 0.006 0.007
0.606 0.775 0.959
